,Bin,Ei,Oi,,Test Statistic 
0,"(20, 1)",0.4,0.384250474,0.000620119,76.23399674
1,"(19, 2)",0.7524,0.63394683,0.018648529,
2,"(18, 3)",1.058544,1.100917431,0.001696205,
3,"(18, 2)",0.7128,0.590643275,0.020934716,
4,"(17, 2)",0.6732,0.549019608,0.022906669,
5,"(17, 1)",0.34,0.189473684,0.066641682,
6,"(17, 3)",0.999736,0.949275362,0.002546948,
7,"(16, 4)",1.24210944,1.06097561,0.026414311,
8,"(15, 4)",1.1644776,1.068181818,0.007963122,
9,"(15, 2)",0.594,0.442307692,0.03873831,
10,"(15, 1)",0.3,0.361111111,0.01244856,
11,"(17, 4)",1.31974128,1.106382979,0.034492946,
12,"(15, 6)",1.712364287,1.68,0.000611696,
13,"(14, 6)",1.598206668,1.292682927,0.058405936,
14,"(14, 3)",0.823312,0.84,0.000338255,
15,"(13, 2)",0.5148,0.540540541,0.001287054,
16,"(12, 2)",0.4752,0.542857143,0.009632763,
17,"(12, 1)",0.24,0.244444444,8.23045E-05,
18,"(15, 3)",0.88212,0.857142857,0.000707225,
19,"(16, 2)",0.6336,0.821428571,0.055681143,
20,"(14, 2)",0.5544,0.463414634,0.014932065,
21,"(13, 3)",0.764504,0.666666667,0.012520724,
22,"(12, 3)",0.705696,0.705882353,4.92102E-08,
23,"(14, 5)",1.345108845,1.153846154,0.027195879,
24,"(11, 7)",1.450619134,1.538461538,0.005319307,
25,"(10, 6)",1.141576191,0.75,0.13431597,
26,"(10, 4)",0.7763184,0.666666667,0.01548785,
27,"(10, 1)",0.2,0.214285714,0.001020408,
28,"(19, 1)",0.38,0.417777778,0.003755686,
29,"(16, 3)",0.940928,0.704918033,0.059197627,
30,"(12, 6)",1.36989143,1.55,0.02368005,
31,"(11, 6)",1.25573381,1.866666667,0.297227766,
32,"(9, 3)",0.529272,0.363636364,0.051835661,
33,"(9, 2)",0.3564,0.375,0.000970707,
34,"(9, 1)",0.18,0.095238095,0.039914336,
35,"(8, 1)",0.16,0.136363636,0.003491736,
36,"(15, 5)",1.441188048,1.425531915,0.000170078,
37,"(13, 4)",1.00921392,1.03030303,0.00044069,
38,"(10, 3)",0.58808,0.466666667,0.025066653,
39,"(10, 2)",0.396,0.269230769,0.040581914,
40,"(8, 2)",0.3168,0.4375,0.045986395,
41,"(7, 3)",0.411656,0.588235294,0.075743454,
42,"(6, 3)",0.352848,0.473684211,0.041381529,
43,"(6, 2)",0.2376,0.217391304,0.001718819,
44,"(5, 2)",0.198,0.230769231,0.005423346,
45,"(5, 1)",0.1,0,0.1,
46,"(13, 5)",1.249029642,1.185185185,0.003263425,
47,"(12, 5)",1.152950438,1.034482759,0.012172762,
48,"(16, 1)",0.32,0.310344828,0.00029132,
49,"(13, 1)",0.26,0.275,0.000865385,
50,"(12, 8)",1.790843729,2.538461538,0.312105618,
51,"(10, 5)",0.960792032,0.705882353,0.067630603,
52,"(8, 4)",0.62105472,0.5,0.023595739,
53,"(7, 4)",0.54342288,0.294117647,0.114373357,
54,"(6, 4)",0.46579104,0.6,0.038669797,
55,"(6, 1)",0.12,0.076923077,0.015463511,
56,"(14, 4)",1.08684576,1.28125,0.034773111,
57,"(9, 7)",1.186870201,1.3,0.010783278,
58,"(7, 7)",0.923121267,0.166666667,0.619879081,
59,"(7, 2)",0.2772,0.142857143,0.065108237,
60,"(18, 1)",0.36,0.306306306,0.008008369,
61,"(12, 4)",0.93158208,0.952380952,0.000464364,
62,"(7, 5)",0.672554422,0.416666667,0.097357985,
63,"(4, 6)",0.456630477,0.5,0.00411912,
64,"(3, 4)",0.23289552,0,0.23289552,
65,"(3, 3)",0.176424,0.5,0.593464765,
66,"(3, 1)",0.06,0,0.06,
67,"(11, 5)",1.056871235,0.733333333,0.099044018,
68,"(16, 5)",1.537267251,1.4,0.012257009,
69,"(11, 9)",1.828774617,1.545454545,0.043892923,
70,"(8, 3)",0.470464,0.409090909,0.008006258,
71,"(7, 1)",0.14,0.09375,0.015279018,
72,"(14, 1)",0.28,0.212765957,0.016144345,
73,"(13, 6)",1.484049049,1.421052632,0.002674136,
74,"(12, 7)",1.582493601,0.769230769,0.417945724,
75,"(9, 5)",0.864712829,1.05,0.039702586,
76,"(4, 9)",0.665008951,0.5,0.040943741,
77,"(3, 9)",0.498756714,1,0.503742256,
78,"(2, 7)",0.263748934,0,0.263748934,
79,"(2, 2)",0.0792,0.166666667,0.096596184,
80,"(2, 1)",0.04,0,0.04,
81,"(13, 7)",1.714368068,1.681818182,0.000618009,
82,"(10, 9)",1.662522379,3,1.075983343,
83,"(7, 9)",1.163765665,0.666666667,0.21233434,
84,"(7, 6)",0.799103334,0.666666667,0.02194894,
85,"(9, 4)",0.69868656,0.782608696,0.010080235,
86,"(8, 5)",0.768633626,0.785714286,0.000379568,
87,"(6, 6)",0.684945715,0.25,0.276193822,
88,"(4, 4)",0.31052736,0.181818182,0.053348125,
89,"(2, 4)",0.15526368,0,0.15526368,
90,"(10, 8)",1.492369774,1.5,3.9012E-05,
91,"(6, 11)",1.195611896,1,0.032003708,
92,"(5, 11)",0.996343246,1,1.34209E-05,
93,"(4, 2)",0.1584,0,0.1584,
94,"(4, 1)",0.08,0.125,0.0253125,
95,"(11, 8)",1.641606752,1,0.25076604,
96,"(10, 7)",1.318744668,1,0.077041573,
97,"(9, 12)",1.937549486,1,0.453665336,
